@relation monks-2

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute clase {0,1}

@data
0.202573,0.209001,0.51156,0.179342,0.74327,1.76884,0
0.202573,0.209001,0.51156,0.179342,2.18315,0.516154,0
0.202573,0.209001,0.51156,1.06987,0.023331,0.516154,0
0.202573,0.209001,0.51156,1.06987,0.023331,1.76884,0
0.202573,0.209001,0.51156,1.06987,0.74327,0.516154,0
0.202573,0.209001,0.51156,1.06987,1.46321,0.516154,0
0.202573,0.209001,0.51156,1.06987,2.18315,0.516154,0
0.202573,0.209001,0.51156,1.9604,0.74327,0.516154,0
0.202573,0.209001,0.51156,1.9604,2.18315,0.516154,0
0.202573,0.209001,1.76011,0.179342,0.023331,0.516154,0
0.202573,0.209001,1.76011,0.179342,0.023331,1.76884,0
0.202573,0.209001,1.76011,1.06987,1.46321,0.516154,0
0.202573,0.209001,1.76011,1.06987,2.18315,0.516154,0
0.202573,0.209001,1.76011,1.06987,2.18315,1.76884,1
0.202573,0.209001,1.76011,1.9604,0.023331,1.76884,0
0.202573,0.209001,1.76011,1.9604,0.74327,1.76884,1
0.202573,1.13031,0.51156,0.179342,0.023331,1.76884,0
0.202573,1.13031,0.51156,1.06987,0.023331,1.76884,0
0.202573,1.13031,0.51156,1.06987,0.74327,1.76884,1
0.202573,1.13031,0.51156,1.06987,1.46321,0.516154,0
0.202573,1.13031,0.51156,1.06987,1.46321,1.76884,1
0.202573,1.13031,0.51156,1.06987,2.18315,0.516154,0
0.202573,1.13031,0.51156,1.9604,0.023331,0.516154,0
0.202573,1.13031,0.51156,1.9604,0.023331,1.76884,0
0.202573,1.13031,0.51156,1.9604,0.74327,1.76884,1
0.202573,1.13031,0.51156,1.9604,1.46321,0.516154,0
0.202573,1.13031,0.51156,1.9604,1.46321,1.76884,1
0.202573,1.13031,0.51156,1.9604,2.18315,0.516154,0
0.202573,1.13031,0.51156,1.9604,2.18315,1.76884,1
0.202573,1.13031,1.76011,0.179342,0.74327,0.516154,0
0.202573,1.13031,1.76011,0.179342,2.18315,0.516154,0
0.202573,1.13031,1.76011,1.06987,1.46321,0.516154,1
0.202573,1.13031,1.76011,1.06987,2.18315,0.516154,1
0.202573,1.13031,1.76011,1.9604,0.023331,0.516154,0
0.202573,1.13031,1.76011,1.9604,0.023331,1.76884,1
0.202573,1.13031,1.76011,1.9604,1.46321,0.516154,1
0.202573,1.13031,1.76011,1.9604,1.46321,1.76884,0
0.202573,1.13031,1.76011,1.9604,2.18315,0.516154,1
0.202573,1.13031,1.76011,1.9604,2.18315,1.76884,0
0.202573,2.05162,0.51156,0.179342,0.023331,1.76884,0
0.202573,2.05162,0.51156,0.179342,0.74327,1.76884,0
0.202573,2.05162,0.51156,0.179342,1.46321,0.516154,0
0.202573,2.05162,0.51156,0.179342,1.46321,1.76884,0
0.202573,2.05162,0.51156,1.06987,0.74327,0.516154,0
0.202573,2.05162,0.51156,1.06987,0.74327,1.76884,1
0.202573,2.05162,0.51156,1.06987,1.46321,1.76884,1
0.202573,2.05162,0.51156,1.06987,2.18315,0.516154,0
0.202573,2.05162,0.51156,1.9604,0.74327,1.76884,1
0.202573,2.05162,0.51156,1.9604,1.46321,0.516154,0
0.202573,2.05162,0.51156,1.9604,2.18315,1.76884,1
0.202573,2.05162,1.76011,0.179342,1.46321,0.516154,0
0.202573,2.05162,1.76011,0.179342,1.46321,1.76884,1
0.202573,2.05162,1.76011,0.179342,2.18315,0.516154,0
0.202573,2.05162,1.76011,1.06987,0.023331,1.76884,1
0.202573,2.05162,1.76011,1.06987,1.46321,1.76884,0
0.202573,2.05162,1.76011,1.06987,2.18315,1.76884,0
0.202573,2.05162,1.76011,1.9604,0.74327,0.516154,1
1.11415,0.209001,0.51156,0.179342,0.023331,0.516154,0
